label,count,category,method,confidence,details
specimen site,79,Biospecimen Type,keyword,MEDIUM,keyword: specimen
cell number,78,Biospecimen Type,keyword,HIGH,exact_match: cell
fracture site,78,Biospecimen Type,llm,HIGH,"A fracture site is a specific type of biospecimen, which fits into the category of Biospecimen Type."
tissue group,77,Biospecimen Type,keyword,HIGH,exact_match: tissue
karyotype,77,Biospecimen Type,similarity,MEDIUM,Similar to: cell karyotype (score: 0.783)
source tissue,76,Biospecimen Type,keyword,HIGH,exact_match: tissue
immune_or_nasal,76,Biospecimen Type,llm,MEDIUM,"This label seems to describe the type of biospecimen, possibly indicating whether it is from the immune system or nasal passages."
any_immune,76,Biospecimen Type,llm,MEDIUM,"This label seems to describe the type of biospecimen, possibly indicating whether it is related to the immune system."
cell lines,75,Biospecimen Type,keyword,HIGH,exact_match: cell
minimum reads per cell during initial processing,75,Biospecimen Type,keyword,HIGH,exact_match: cell
Type,73,Biospecimen Type,llm,HIGH,"Type is a general term that can refer to the type of biospecimen, and this label likely refers to the type of sample or material."
embryo,70,Biospecimen Type,llm,HIGH,Embryo is a type of biospecimen
anatomical location,70,Biospecimen Type,llm,HIGH,Anatomical location refers to the type of tissue or organ from which the biospecimen is derived
fetus,70,Biospecimen Type,llm,HIGH,Fetus is a type of biospecimen
compartment,69,Biospecimen Type,similarity,MEDIUM,Similar to: cell compartment (score: 0.815)
lesional (ls) vs. normal,69,Biospecimen Type,llm,HIGH,Lesional vs. normal is a type of biospecimen
Genetic background,69,Biospecimen Type,llm,HIGH,Genetic background is a type of biospecimen
Histological type,69,Biospecimen Type,llm,HIGH,Histological type is a type of biospecimen
day blood taken,67,Biospecimen Type,keyword,HIGH,exact_match: blood
vs type,67,Biospecimen Type,llm,MEDIUM,"This label could be related to the type of biospecimen, but the meaning is not entirely clear without more context."
tissue status,66,Biospecimen Type,keyword,HIGH,exact_match: tissue
histological.type,66,Biospecimen Type,llm,HIGH,"This label clearly refers to the type of biospecimen, specifically histological type."
cell markers,65,Biospecimen Type,keyword,HIGH,exact_match: cell
lymphocyte_count,64,Biospecimen Type,keyword,MEDIUM,keyword: lymphocyte
lobe,64,Biospecimen Type,llm,HIGH,"Refers to a specific part of an organ, which is a type of biospecimen"
cytology,64,Biospecimen Type,llm,HIGH,"Cytology is a branch of biology that studies the structure, function, and chemistry of cells. It is a type of biospecimen."
source cell type,61,Biospecimen Type,keyword,HIGH,exact_match: cell
aspiration site,61,Biospecimen Type,llm,MEDIUM,"Aspiration site could be related to the type of biospecimen collected, such as a tissue or fluid sample."
tissue/cell info,60,Biospecimen Type,keyword,LOW,pattern: .*tissue.*
vector constructs,60,Biospecimen Type,llm,HIGH,Vector constructs are a type of biospecimen used in molecular biology.
sorted cell_type,59,Biospecimen Type,keyword,LOW,pattern: .*cell.*
sandwich type,59,Biospecimen Type,llm,HIGH,"This label likely refers to the type of biospecimen or sample used in an experiment, such as a sandwich ELISA."
cells detected,58,Biospecimen Type,keyword,LOW,pattern: .*cell.*
tissue derivation,58,Biospecimen Type,keyword,HIGH,exact_match: tissue
types,58,Biospecimen Type,llm,HIGH,"The label 'types' is a synonym for 'sample type' or 'specimen type', which fits well within the Biospecimen Type category."
modifications,57,Biospecimen Type,llm,MEDIUM,"Modifications could refer to changes made to the biospecimen, which might relate to its type or characteristics."
library-type,57,Biospecimen Type,llm,HIGH,"Library-type is a specific characteristic of the biospecimen, likely referring to the type of library prepared from the sample."
data tissue_collection,56,Biospecimen Type,keyword,LOW,pattern: .*tissue.*
tissue collection,56,Biospecimen Type,keyword,HIGH,exact_match: tissue
lymph node number,56,Biospecimen Type,llm,MEDIUM,This could be a characteristic of a biospecimen
parental line,55,Biospecimen Type,similarity,MEDIUM,Similar to: parental cell line (score: 0.839)
upper or lower extremity,55,Biospecimen Type,llm,HIGH,Refers to the type of tissue or anatomical site from which the biospecimen is derived.
growth pattern,55,Biospecimen Type,llm,HIGH,Describes the type of cellular growth or tissue morphology.
volar or non-volar,55,Biospecimen Type,llm,HIGH,Refers to the specific anatomical location or type of tissue from which the biospecimen is derived.
age at blood collection,54,Biospecimen Type,keyword,HIGH,exact_match: blood
organ system,54,Biospecimen Type,keyword,HIGH,exact_match: organ
FISH origin,53,Biospecimen Type,similarity,MEDIUM,Similar to: tissue origin (score: 0.750)
isolation method,52,Biospecimen Type,llm,MEDIUM,"Isolation method could be related to the type of biospecimen, such as cell isolation or tissue isolation."
day of tissue harvest,51,Biospecimen Type,keyword,HIGH,exact_match: tissue
specific heart region,51,Biospecimen Type,llm,HIGH,"Specific heart region indicates the type or source of the biospecimen, fitting the definition of Biospecimen Type."
lymph node,51,Biospecimen Type,llm,HIGH,"Lymph node specifies the type or source of the biospecimen, fitting the definition of Biospecimen Type."
parental cell line,49,Biospecimen Type,keyword,HIGH,exact_match: cell
other organ lesion,49,Biospecimen Type,keyword,HIGH,exact_match: organ
stem cell,48,Biospecimen Type,keyword,HIGH,exact_match: cell
cell surface marker,47,Biospecimen Type,keyword,HIGH,exact_match: cell
graft source,47,Biospecimen Type,llm,HIGH,"Graft source refers to the origin or type of biological material used for grafting, which is a characteristic of the biospecimen type."
developmental stage/tissue,46,Biospecimen Type,keyword,LOW,pattern: .*tissue.*
lymphocytes_count,46,Biospecimen Type,keyword,MEDIUM,keyword: lymphocyte
monocytes_count,46,Biospecimen Type,keyword,MEDIUM,keyword: monocyte
surface marker,46,Biospecimen Type,similarity,MEDIUM,Similar to: cell surface marker (score: 0.848)
derived from,46,Biospecimen Type,llm,HIGH,"Derived from refers to the origin or source of a biospecimen, which is a characteristic of the biospecimen type."
BREAST,46,Biospecimen Type,llm,HIGH,BREAST refers to a type of tissue or organ
tissue acquisition,45,Biospecimen Type,keyword,HIGH,exact_match: tissue
cell surface markers,45,Biospecimen Type,keyword,HIGH,exact_match: cell
type of library,45,Biospecimen Type,llm,HIGH,"Type of library refers to the type of biospecimen, in this case, a library of biological samples."
cell/tissue type,44,Biospecimen Type,keyword,LOW,pattern: .*tissue.*
Tissue Factor,43,Biospecimen Type,keyword,HIGH,exact_match: tissue
fusion,41,Biospecimen Type,llm,MEDIUM,"This label could refer to a type of biospecimen, such as a fusion of different cell types."
percentage of tumor cells,40,Biospecimen Type,keyword,LOW,pattern: .*cell.*
source cell,40,Biospecimen Type,keyword,HIGH,exact_match: cell
hemolysis score,40,Biospecimen Type,llm,MEDIUM,"This label could refer to a characteristic of the biospecimen, such as the degree of hemolysis."
age at biopsy date,39,Biospecimen Type,keyword,MEDIUM,keyword: biopsy
autopsy,39,Biospecimen Type,llm,HIGH,"Autopsy is a procedure for obtaining biospecimens, so it fits well with the Biospecimen Type category."
cells_loaded,38,Biospecimen Type,keyword,LOW,pattern: .*cell.*
resection,38,Biospecimen Type,llm,HIGH,"Resection is a procedure for obtaining biospecimens, so it fits well with the Biospecimen Type category."
construct,38,Biospecimen Type,llm,MEDIUM,"Construct can refer to a type of biospecimen, such as a recombinant DNA construct."
Cell type,37,Biospecimen Type,keyword,HIGH,exact_match: cell
mating type,37,Biospecimen Type,llm,HIGH,"Mating type is a characteristic of biological samples, particularly in the context of cell lines or organisms, which fits well within the Biospecimen Type category."
organ obtained,36,Biospecimen Type,keyword,HIGH,exact_match: organ
primary cells,36,Biospecimen Type,keyword,LOW,pattern: .*cell.*
location type,36,Biospecimen Type,llm,MEDIUM,"Location type could refer to the type of tissue or organ from which a biological sample is derived, which fits within the Biospecimen Type category."
skin anatomy,36,Biospecimen Type,llm,HIGH,"This label refers to the type of tissue or anatomical location of the sample, which is a characteristic of the sample."
Age at interview & blood sampling,35,Biospecimen Type,keyword,HIGH,exact_match: blood
biopsy vs surgical resection,35,Biospecimen Type,keyword,MEDIUM,keyword: biopsy
pulldown,35,Biospecimen Type,llm,HIGH,"Pulldown is a laboratory technique used to isolate specific proteins or nucleic acids from a sample, suggesting it is a type of biospecimen."
Tissue type,34,Biospecimen Type,keyword,HIGH,exact_match: tissue
cell tye,34,Biospecimen Type,keyword,HIGH,exact_match: cell
treated stem cells,34,Biospecimen Type,keyword,MEDIUM,keyword: stem cell
body site,34,Biospecimen Type,similarity,MEDIUM,Similar to: biopsy site (score: 0.800)
cell treatment,33,Biospecimen Type,keyword,HIGH,exact_match: cell
clinical phenotypes,33,Biospecimen Type,similarity,MEDIUM,Similar to: cell phenotype (score: 0.788)
cell line name,31,Biospecimen Type,keyword,HIGH,exact_match: cell
Cell line,31,Biospecimen Type,keyword,HIGH,exact_match: cell
Medication at blood sampling,30,Biospecimen Type,keyword,HIGH,exact_match: blood
cell culture condition,30,Biospecimen Type,keyword,HIGH,exact_match: cell
cell-type,30,Biospecimen Type,keyword,LOW,pattern: .*cell.*
derived cell line,30,Biospecimen Type,keyword,HIGH,exact_match: cell
source cell line,30,Biospecimen Type,keyword,HIGH,exact_match: cell
age at skin biopsy,30,Biospecimen Type,keyword,MEDIUM,keyword: biopsy
tumor tissue source,30,Biospecimen Type,keyword,HIGH,exact_match: tissue
cell passage,30,Biospecimen Type,keyword,HIGH,exact_match: cell
tumor organ site,30,Biospecimen Type,keyword,HIGH,exact_match: organ
cell line/type,30,Biospecimen Type,keyword,HIGH,exact_match: cell
phenotypes,30,Biospecimen Type,similarity,MEDIUM,Similar to: cell phenotype (score: 0.750)
knock-in line,30,Biospecimen Type,llm,HIGH,knock-in line refers to a type of genetically modified cell line
brain section,30,Biospecimen Type,llm,HIGH,brain section refers to a type of tissue sample
knockout status,30,Biospecimen Type,llm,HIGH,knockout status refers to a type of genetically modified cell line
cell cycle stage,29,Biospecimen Type,keyword,HIGH,exact_match: cell
tumor cell line,29,Biospecimen Type,keyword,HIGH,exact_match: cell
lymphocytes,29,Biospecimen Type,keyword,MEDIUM,keyword: lymphocyte
mitotic activity,29,Biospecimen Type,llm,HIGH,"Mitotic activity is a characteristic of cells, which is a type of biospecimen."
derived from metastatic site,29,Biospecimen Type,llm,HIGH,"This label describes the origin of the biospecimen, which is a characteristic of its type."
kit expression,29,Biospecimen Type,llm,HIGH,"Kit expression is a characteristic of cells, which is a type of biospecimen."
biopsy collection date,28,Biospecimen Type,keyword,MEDIUM,keyword: biopsy
bone marrow mononuclear cells sorted from,28,Biospecimen Type,keyword,LOW,pattern: .*cell.*
additional cell lineages present in dataset,27,Biospecimen Type,keyword,HIGH,exact_match: cell
cell type source,27,Biospecimen Type,keyword,HIGH,exact_match: cell
cell stage,27,Biospecimen Type,keyword,HIGH,exact_match: cell
tissues,27,Biospecimen Type,keyword,LOW,pattern: .*tissue.*
pulmonary compartment,27,Biospecimen Type,llm,HIGH,Refers to a specific type of biological sample or tissue
sampling location,27,Biospecimen Type,llm,HIGH,"Sampling location is related to the type of biospecimen, such as tissue or cell type."
primary cell line,26,Biospecimen Type,keyword,HIGH,exact_match: cell
clone phenotype,26,Biospecimen Type,similarity,MEDIUM,Similar to: cell phenotype (score: 0.828)
Body surface area,26,Biospecimen Type,llm,MEDIUM,"Body surface area could refer to the type of biospecimen, such as skin or tissue type."
twin status,25,Biospecimen Type,similarity,MEDIUM,Similar to: tissue status (score: 0.750)
body part,25,Biospecimen Type,llm,HIGH,Body part refers to the type of tissue or organ from which the biospecimen is derived
tissue subgroup,24,Biospecimen Type,keyword,HIGH,exact_match: tissue
cell line/tissue,24,Biospecimen Type,keyword,HIGH,exact_match: cell
cell line/tissue source,24,Biospecimen Type,keyword,HIGH,exact_match: cell
monocyte,24,Biospecimen Type,keyword,MEDIUM,keyword: monocyte
sorted cell type,24,Biospecimen Type,keyword,HIGH,exact_match: cell
lymphocyte,24,Biospecimen Type,keyword,MEDIUM,keyword: lymphocyte
cell or tissue type,24,Biospecimen Type,keyword,HIGH,exact_match: tissue
starting cell,24,Biospecimen Type,keyword,HIGH,exact_match: cell
blood island injection,24,Biospecimen Type,keyword,HIGH,exact_match: blood
cell preparation,24,Biospecimen Type,keyword,HIGH,exact_match: cell
anatomical site,24,Biospecimen Type,llm,HIGH,Anatomical site refers to the specific location in the body from which the biospecimen is derived
resection_type,24,Biospecimen Type,llm,HIGH,"This label refers to the type of surgical removal of a biospecimen, which fits into the Biospecimen Type category."
morphologic form,24,Biospecimen Type,llm,HIGH,"This label refers to the shape or structure of a biospecimen, which fits into the Biospecimen Type category."
spinal cord region,24,Biospecimen Type,llm,HIGH,"This label refers to a specific part of the spinal cord, which fits into the Biospecimen Type category as it describes the type of biospecimen."
Construct,24,Biospecimen Type,llm,HIGH,"This label refers to a specific type of biospecimen, such as a cell line or tissue sample, which fits into the Biospecimen Type category."
extract,24,Biospecimen Type,llm,HIGH,"This label refers to a type of biospecimen that has been extracted from a larger sample, which fits into the Biospecimen Type category."
exogenous gene expressed,24,Biospecimen Type,llm,HIGH,"This label indicates the type of gene expressed in the biospecimen, which is a characteristic of the biospecimen."
cell dissociation,23,Biospecimen Type,keyword,HIGH,exact_match: cell
peripheral blood,23,Biospecimen Type,keyword,HIGH,exact_match: blood
molecule source,23,Biospecimen Type,llm,HIGH,"This label indicates the type of molecule or biospecimen, which is a characteristic of the biospecimen."
cells/condition,22,Biospecimen Type,keyword,LOW,pattern: .*cell.*
generation,22,Biospecimen Type,llm,MEDIUM,"Generation could refer to the type of cellular molecule, cell, or tissue."
Karyotype,21,Biospecimen Type,similarity,MEDIUM,Similar to: cell karyotype (score: 0.783)
generation/colony,21,Biospecimen Type,llm,MEDIUM,"Generation/colony could refer to the type of cellular molecule, cell, or tissue."
electrophysiology,21,Biospecimen Type,llm,HIGH,Electrophysiology is a type of biospecimen or sample type
cell transduction,20,Biospecimen Type,keyword,HIGH,exact_match: cell
cell marker,20,Biospecimen Type,keyword,HIGH,exact_match: cell
enrichment,20,Biospecimen Type,similarity,MEDIUM,Similar to: cell enrichment (score: 0.800)
lot number,20,Biospecimen Type,similarity,MEDIUM,Similar to: cell number (score: 0.762)
glioma model,20,Biospecimen Type,llm,HIGH,glioma model is a type of biospecimen or sample
fus aggregation state,19,Biospecimen Type,llm,MEDIUM,"Fus aggregation state could refer to the physical state of a biospecimen, such as its aggregation or dispersion."
sort purification strategy,19,Biospecimen Type,llm,HIGH,Sort purification strategy refers to the method used to isolate or purify a specific type of biospecimen.
cellular_component,18,Biospecimen Type,keyword,LOW,pattern: .*cell.*
tissue location,18,Biospecimen Type,keyword,HIGH,exact_match: tissue
protein expression,18,Biospecimen Type,llm,MEDIUM,"Protein expression could refer to the type of biospecimen, such as a protein or a cell line expressing a specific protein."
menstrual phase,18,Biospecimen Type,llm,MEDIUM,"Menstrual phase could be a characteristic of the biospecimen type, such as a specific type of tissue or cell"
cell type origin,17,Biospecimen Type,keyword,HIGH,exact_match: cell
protein,17,Biospecimen Type,llm,HIGH,Protein is a type of biospecimen
clip antibody,17,Biospecimen Type,llm,HIGH,Clip antibody is a type of biospecimen
viral,17,Biospecimen Type,llm,HIGH,Viral is a type of biospecimen
composite,17,Biospecimen Type,llm,HIGH,Composite is a type of biospecimen
cell status,16,Biospecimen Type,keyword,HIGH,exact_match: cell
serum,16,Biospecimen Type,keyword,HIGH,exact_match: serum
osteogenic potential,16,Biospecimen Type,llm,MEDIUM,"The label refers to a specific characteristic of a biospecimen, osteogenic potential, which is related to its type or properties."
aortic valve,16,Biospecimen Type,llm,HIGH,"Aortic valve is a specific type of tissue or organ, which fits into the Biospecimen Type category."
adipogenic potential,16,Biospecimen Type,llm,MEDIUM,"Adipogenic potential refers to the ability of cells to differentiate into adipocytes, which could be related to the type of biospecimen."
lung section/portion,16,Biospecimen Type,llm,HIGH,"Lung section/portion is a specific type of tissue or organ, which fits into the Biospecimen Type category."
cytogenetic,16,Biospecimen Type,llm,HIGH,"Cytogenetic refers to the study of chromosomes and their abnormalities, which is a characteristic of a biospecimen type."
sorted fraction,16,Biospecimen Type,llm,HIGH,Sorted fraction refers to a specific type of biospecimen that has been sorted or separated based on certain characteristics.
cell line_name,15,Biospecimen Type,keyword,HIGH,exact_match: cell
cell_origin,15,Biospecimen Type,keyword,LOW,pattern: .*cell.*
tissue class,15,Biospecimen Type,keyword,HIGH,exact_match: tissue
surface markers,15,Biospecimen Type,similarity,MEDIUM,Similar to: cell surface markers (score: 0.857)
es line,15,Biospecimen Type,similarity,MEDIUM,Similar to: cell line (score: 0.750)
precursor,15,Biospecimen Type,llm,MEDIUM,Could refer to a type of biospecimen or cell line
cell origin,14,Biospecimen Type,keyword,HIGH,exact_match: cell
age at blood draw,14,Biospecimen Type,keyword,HIGH,exact_match: blood
original cell line,14,Biospecimen Type,keyword,HIGH,exact_match: cell
genotype abbreviation,14,Biospecimen Type,llm,HIGH,"Genotype abbreviation is related to the type of biospecimen, specifically the genetic makeup of the sample."
sorting profile,14,Biospecimen Type,llm,HIGH,"Sorting profile is related to the type of biospecimen, specifically the characteristics of the cells or molecules being sorted."
cell lining,13,Biospecimen Type,keyword,HIGH,exact_match: cell
receptor expression,13,Biospecimen Type,llm,HIGH,"Receptor expression is a characteristic of a biospecimen, specifically a type of molecular feature."
material type,13,Biospecimen Type,llm,HIGH,"Material type is a synonym for biospecimen type, referring to the type of material sample taken."
cag repeat,13,Biospecimen Type,llm,HIGH,"Cag repeat is a characteristic of a biospecimen, specifically a type of genetic feature."
serology,13,Biospecimen Type,llm,HIGH,"Serology is a characteristic of a biospecimen, specifically a type of immunological feature."
growth phase of cells,12,Biospecimen Type,keyword,LOW,pattern: .*cell.*
Tumor tissue,12,Biospecimen Type,keyword,HIGH,exact_match: tissue
brain tissue,12,Biospecimen Type,keyword,HIGH,exact_match: tissue
cell type background,12,Biospecimen Type,keyword,HIGH,exact_match: cell
age at biopsy,12,Biospecimen Type,keyword,MEDIUM,keyword: biopsy
cell line type,12,Biospecimen Type,keyword,HIGH,exact_match: cell
isolation of tumor cells,12,Biospecimen Type,keyword,LOW,pattern: .*cell.*
primary cell type,12,Biospecimen Type,keyword,HIGH,exact_match: cell
cell line origin,12,Biospecimen Type,keyword,HIGH,exact_match: cell
tumor cell type,12,Biospecimen Type,keyword,HIGH,exact_match: cell
maturation to macrophage,12,Biospecimen Type,keyword,MEDIUM,keyword: macrophage
melanoma cell type,12,Biospecimen Type,keyword,HIGH,exact_match: cell
histological findings of renal specimen,12,Biospecimen Type,keyword,MEDIUM,keyword: specimen
renal biopsy,12,Biospecimen Type,keyword,MEDIUM,keyword: biopsy
name of tissue,12,Biospecimen Type,keyword,HIGH,exact_match: tissue
cell line passage,12,Biospecimen Type,keyword,HIGH,exact_match: cell
blood pressure,12,Biospecimen Type,keyword,HIGH,exact_match: blood
clone name,12,Biospecimen Type,similarity,MEDIUM,Similar to: cell line name (score: 0.750)
efflux status,12,Biospecimen Type,similarity,MEDIUM,Similar to: cell status (score: 0.750)
source muscle,12,Biospecimen Type,similarity,MEDIUM,Similar to: source cell (score: 0.750)
fold enrichment,12,Biospecimen Type,similarity,MEDIUM,Similar to: cell enrichment (score: 0.800)
sediment,12,Biospecimen Type,similarity,MEDIUM,Similar to: specimen (score: 0.750)
density gradient region,12,Biospecimen Type,llm,HIGH,Density gradient region is a type of sample or biospecimen.
pluripotent,12,Biospecimen Type,llm,HIGH,"Pluripotent refers to the ability of a cell to develop into multiple cell types, which is a characteristic of a biospecimen type."
MASTECTOMY,12,Biospecimen Type,llm,HIGH,"Mastectomy is a surgical procedure that involves the removal of breast tissue, which is a type of biospecimen."
total/partial resection,12,Biospecimen Type,llm,HIGH,"Total/partial resection refers to the extent of tissue removal during a surgical procedure, which is a characteristic of a biospecimen type."
model type,12,Biospecimen Type,llm,HIGH,"Model type refers to the type of biological model used, such as a cell line or animal model, which is a characteristic of a biospecimen type."
type of cultivation plate,12,Biospecimen Type,llm,MEDIUM,This label could be related to the type of sample or material used in the experiment
area/tissue,11,Biospecimen Type,keyword,LOW,pattern: .*tissue.*
urine protein,11,Biospecimen Type,llm,HIGH,Urine protein is a type of biospecimen
embryos pooled,11,Biospecimen Type,llm,HIGH,Embryos pooled is a type of biospecimen
cell line for infection,10,Biospecimen Type,keyword,HIGH,exact_match: cell
injected cell line,10,Biospecimen Type,keyword,HIGH,exact_match: cell
initial preparation,10,Biospecimen Type,similarity,MEDIUM,Similar to: tissue preparation (score: 0.757)
anatomic site,10,Biospecimen Type,similarity,MEDIUM,Similar to: tissue anatomic site (score: 0.788)
lung section,10,Biospecimen Type,llm,HIGH,"Refers to a specific type of biospecimen, in this case, a section of lung tissue."
cell-subtype,9,Biospecimen Type,keyword,LOW,pattern: .*cell.*
parental cell type,9,Biospecimen Type,keyword,HIGH,exact_match: cell
derived culture,9,Biospecimen Type,similarity,MEDIUM,Similar to: derived cell_type (score: 0.750)
genotype background,9,Biospecimen Type,similarity,MEDIUM,Similar to: cell type background (score: 0.821)
subpopulation,9,Biospecimen Type,similarity,MEDIUM,Similar to: cell subpopulation (score: 0.839)
anatomical region,9,Biospecimen Type,llm,HIGH,"This label refers to the type of biospecimen, specifically the anatomical region from which it was taken."
neuroblastoma cell line,8,Biospecimen Type,keyword,HIGH,exact_match: cell
derived cell_type,8,Biospecimen Type,keyword,LOW,pattern: .*cell.*
cell number per well,8,Biospecimen Type,keyword,HIGH,exact_match: cell
macrophages,8,Biospecimen Type,keyword,MEDIUM,keyword: macrophage
microglia population,8,Biospecimen Type,llm,HIGH,"Microglia population refers to a specific type of cell or cellular component, which is a characteristic of the biospecimen."
fus variant,8,Biospecimen Type,llm,HIGH,"Fus variant refers to a specific type of genetic variant or mutation, which is a characteristic of the biospecimen."
portion of branchial arch,8,Biospecimen Type,llm,HIGH,Portion of branchial arch refers to a specific type of biospecimen or tissue.
anatomic segment,8,Biospecimen Type,llm,HIGH,Anatomic segment refers to a specific type of biospecimen or tissue.
allele,8,Biospecimen Type,llm,MEDIUM,"An allele is a variant of a gene, which could be considered a type of biospecimen."
cell type depletion,7,Biospecimen Type,keyword,HIGH,exact_match: cell
cell type implantation,7,Biospecimen Type,keyword,HIGH,exact_match: cell
neural crest-derived,7,Biospecimen Type,llm,MEDIUM,"This label describes the origin of the biospecimen, which could be considered a type of biospecimen."
sorted subset of cells,6,Biospecimen Type,keyword,LOW,pattern: .*cell.*
cell subsets,6,Biospecimen Type,keyword,HIGH,exact_match: cell
sorted cell,6,Biospecimen Type,keyword,HIGH,exact_match: cell
derived cell type,6,Biospecimen Type,keyword,HIGH,exact_match: cell
cell morphology,6,Biospecimen Type,keyword,HIGH,exact_match: cell
stem cell clone,6,Biospecimen Type,keyword,HIGH,exact_match: cell
tissue storage,6,Biospecimen Type,keyword,HIGH,exact_match: tissue
cell phase,6,Biospecimen Type,keyword,HIGH,exact_match: cell
tic class,6,Biospecimen Type,similarity,MEDIUM,Similar to: tissue class (score: 0.762)
molecule subtypes,6,Biospecimen Type,llm,HIGH,Molecule subtypes are a type of biospecimen
hairpin,6,Biospecimen Type,llm,HIGH,"Hairpin is a type of RNA structure, which is a biospecimen"
biopsy position,5,Biospecimen Type,keyword,MEDIUM,keyword: biopsy
tissue type type,5,Biospecimen Type,keyword,HIGH,exact_match: tissue
cell line_infection,5,Biospecimen Type,keyword,HIGH,exact_match: cell
pull-down,5,Biospecimen Type,llm,MEDIUM,Pull-down is a laboratory technique that could be related to the type of biospecimen or sample preparation.
cytogenetics,5,Biospecimen Type,llm,MEDIUM,"Cytogenetics is the study of chromosomes and their abnormalities, which could be related to the type of biospecimen or sample preparation."
marker,5,Biospecimen Type,llm,MEDIUM,"Marker could refer to a type of biospecimen, such as a biomarker"
cell enrichment,4,Biospecimen Type,keyword,HIGH,exact_match: cell
Cells,4,Biospecimen Type,keyword,LOW,pattern: .*cell.*
blood,4,Biospecimen Type,keyword,HIGH,exact_match: blood
source organ,4,Biospecimen Type,keyword,HIGH,exact_match: organ
tissue zone,4,Biospecimen Type,keyword,HIGH,exact_match: tissue
number of_tracheas,4,Biospecimen Type,llm,HIGH,"Number of tracheas is a characteristic of a biospecimen type, such as a tissue sample"
knock-in,4,Biospecimen Type,llm,HIGH,"This label describes a type of genetic modification, which is a characteristic of the biospecimen."
bacterial cells,3,Biospecimen Type,keyword,LOW,pattern: .*cell.*
tissue extraction,3,Biospecimen Type,keyword,HIGH,exact_match: tissue
skin score at biopsy site,3,Biospecimen Type,keyword,MEDIUM,keyword: biopsy
non-small cell lung cancer Derived from metastatic site,3,Biospecimen Type,keyword,HIGH,exact_match: cell
Organ,3,Biospecimen Type,keyword,HIGH,exact_match: organ
bacteria tissue,3,Biospecimen Type,keyword,HIGH,exact_match: tissue
large cell lung cancer Derived from metastatic site,3,Biospecimen Type,keyword,HIGH,exact_match: cell
cell subpopulation/marker,3,Biospecimen Type,keyword,HIGH,exact_match: cell
cell characterization,3,Biospecimen Type,keyword,HIGH,exact_match: cell
Morphology,3,Biospecimen Type,similarity,MEDIUM,Similar to: cell morphology (score: 0.800)
embryo characteristic,3,Biospecimen Type,llm,HIGH,"This label describes a type of biospecimen, which is a characteristic of the biospecimen."
immortalization method,3,Biospecimen Type,llm,HIGH,"This label describes a method used to create an immortalized cell line, which is a characteristic of the biospecimen."
source cells,2,Biospecimen Type,keyword,LOW,pattern: .*cell.*
cell line source gender,2,Biospecimen Type,keyword,HIGH,exact_match: cell
cell mixing ratio,2,Biospecimen Type,keyword,HIGH,exact_match: cell
"BRAIN (CEREBELLUM), BIOPSY",2,Biospecimen Type,keyword,MEDIUM,keyword: biopsy
cell line source age,2,Biospecimen Type,keyword,HIGH,exact_match: cell
cell line source tissue,2,Biospecimen Type,keyword,HIGH,exact_match: tissue
cell mixture,2,Biospecimen Type,keyword,HIGH,exact_match: cell
OVARY,2,Biospecimen Type,llm,HIGH,"OVARY is a specific type of tissue or organ, making it a good fit for the Biospecimen Type category."
AXILLARY NODE,2,Biospecimen Type,llm,HIGH,"AXILLARY NODE is a specific type of tissue or anatomical location, making it a good fit for the Biospecimen Type category."
"BREAST, LOCAL EXCISION",2,Biospecimen Type,llm,HIGH,"This label refers to a specific type of surgical procedure, which is a characteristic of the biospecimen."
PARTIAL MASTECTOMY,2,Biospecimen Type,llm,HIGH,"Similar to BREAST, LOCAL EXCISION, this label refers to a specific type of surgical procedure, which is a characteristic of the biospecimen."
COMPLETION MASTECTOMY,2,Biospecimen Type,llm,HIGH,"This label also refers to a specific type of surgical procedure, which is a characteristic of the biospecimen."
SENTINEL AXILLARY LYMPH NODE,2,Biospecimen Type,llm,HIGH,"This label refers to a specific type of biospecimen, which is a characteristic of the sample."
"BREAST, MASTECTOMY",2,Biospecimen Type,llm,HIGH,"BREAST, MASTECTOMY describes the type of biospecimen"
small cell lung cancer Derived from metastatic site,1,Biospecimen Type,keyword,HIGH,exact_match: cell
cell lie,1,Biospecimen Type,keyword,HIGH,exact_match: cell
injected cells,1,Biospecimen Type,keyword,LOW,pattern: .*cell.*
small molecule,1,Biospecimen Type,llm,MEDIUM,"This label could refer to a type of biospecimen, such as a small molecule sample, but it's not entirely clear without more context."
sample type,10037,External_sample_id,keyword,MEDIUM,keyword: sample
batch,9770,External_sample_id,similarity,MEDIUM,Similar to: batch id (score: 0.769)
patient id,8310,External_sample_id,keyword,HIGH,exact_match: patient id
individual,8008,External_sample_id,keyword,MEDIUM,keyword: id
subject id,6726,External_sample_id,keyword,HIGH,exact_match: subject id
replicate,5824,External_sample_id,similarity,MEDIUM,Similar to: replicate id (score: 0.857)
donor,5515,External_sample_id,keyword,MEDIUM,keyword: donor
subject,5499,External_sample_id,keyword,MEDIUM,keyword: subject
patient,4121,External_sample_id,keyword,MEDIUM,keyword: patient
plate,3492,External_sample_id,similarity,MEDIUM,Similar to: plate id (score: 0.769)
subject status,3306,External_sample_id,keyword,MEDIUM,keyword: subject
sample id,2694,External_sample_id,keyword,HIGH,exact_match: sample id
subjectid,2672,External_sample_id,keyword,MEDIUM,keyword: id
